dataset,seed,cost,timeout,slurm
abz5,65565,1234,6.6,99
abz5,1976,1234,5.9,39
abz5,787554,1234,4.0,119
abz5,98908,1234,3.9,199
abz5,679148,1234,4.3,179
abz5,417968,1234,9.4,69
abz5,521805,1234,8.7,269
abz5,739961,1234,4.6,259
abz5,363468,1234,2.3,249
abz5,121281,1234,9.5,139
abz5,271655,1234,4.7,59
abz5,537284,1234,4.3,289
abz5,563641,1234,4.2,49
abz5,830166,1234,5.3,19
abz5,244840,1234,2.4,189
abz5,135635,1234,8.0,129
abz5,892652,1234,4.3,239
abz5,693419,1234,4.2,149
abz5,681122,1234,3.9,279
abz5,519001,1234,3.9,29
abz5,369380,1234,4.4,209
abz5,470327,1234,5.0,219
abz5,931341,1234,3.9,299
abz5,11188,1234,11.1,159
abz5,304797,1234,4.5,109
abz5,575180,1234,4.3,169
abz5,642927,1234,10.0,229
abz5,863030,1234,9.5,79
abz5,154678,1234,14.8,89
abz5,326535,1234,4.4,9
abz6,681122,943,1.7,277
abz6,575180,943,0.5,167
abz6,11188,943,0.3,157
abz6,521805,943,0.4,267
abz6,519001,943,1.2,27
abz6,931341,943,1.7,297
abz6,679148,943,0.2,177
abz6,693419,943,0.3,147
abz6,830166,943,1.1,17
abz6,1976,943,1.7,37
abz6,563641,943,0.3,47
abz6,121281,943,0.2,137
abz6,271655,943,0.2,57
abz6,739961,943,1.6,257
abz6,65565,943,0.2,97
abz6,470327,943,1.7,217
abz6,642927,943,0.2,227
abz6,304797,943,0.7,107
abz6,154678,943,0.2,87
abz6,369380,943,1.9,207
abz6,892652,943,1.7,237
abz6,863030,943,2.0,77
abz6,244840,943,0.2,187
abz6,787554,943,1.9,117
abz6,537284,943,1.6,287
abz6,135635,943,1.6,127
abz6,326535,943,1.9,7
abz6,363468,943,1.8,247
abz6,98908,943,0.2,197
abz6,417968,943,0.3,67
abz7,98908,671,300.1,192
abz7,521805,674,300.2,262
abz7,537284,680,300.1,282
abz7,642927,668,300.1,222
abz7,739961,679,300.1,252
abz7,326535,675,300.2,2
abz7,244840,672,300.1,182
abz7,363468,674,300.1,242
abz7,892652,679,300.1,232
abz7,679148,669,300.1,172
abz7,369380,675,300.1,202
abz7,470327,671,300.1,212
abz7,681122,674,300.1,272
abz7,931341,674,300.1,292
abz7,417968,673,300.1,62
abz7,65565,674,300.1,92
abz7,304797,667,300.1,102
abz7,154678,679,300.1,82
abz7,787554,674,300.1,112
abz7,863030,669,300.1,72
abz7,830166,670,300.1,12
abz7,135635,673,300.1,122
abz7,121281,669,300.1,132
abz7,271655,681,300.1,52
abz7,693419,676,300.1,142
abz7,563641,673,300.1,42
abz7,519001,674,300.1,22
abz7,1976,670,300.2,32
abz7,11188,676,300.1,152
abz7,575180,671,300.1,162
abz9,537284,695,300.1,284
abz9,417968,695,300.1,64
abz9,135635,690,300.1,124
abz9,326535,693,300.1,4
abz9,470327,695,300.1,214
abz9,363468,695,300.1,244
abz9,863030,695,300.1,74
abz9,519001,704,300.2,24
abz9,369380,691,300.1,204
abz9,787554,696,300.1,114
abz9,11188,696,300.1,154
abz9,892652,695,300.2,234
abz9,304797,692,300.1,104
abz9,931341,696,300.1,294
abz9,98908,695,300.1,194
abz9,642927,706,300.1,224
abz9,693419,689,300.1,144
abz9,1976,701,300.1,34
abz9,681122,695,300.1,274
abz9,563641,700,300.1,44
abz9,521805,691,300.1,264
abz9,575180,695,300.1,164
abz9,244840,696,300.1,184
abz9,65565,696,300.1,94
abz9,679148,696,300.1,174
abz9,121281,695,300.1,134
abz9,271655,696,300.1,54
abz9,739961,690,300.1,254
abz9,830166,691,300.1,14
abz9,154678,696,300.1,84
ft10,65565,930,1.2,91
ft10,931341,930,7.5,291
ft10,892652,930,6.4,231
ft10,642927,930,7.3,221
ft10,681122,930,13.2,271
ft10,363468,930,7.0,241
ft10,537284,930,14.7,281
ft10,1976,930,6.7,31
ft10,739961,930,7.8,251
ft10,417968,930,7.5,61
ft10,271655,930,35.5,51
ft10,521805,930,9.7,261
ft10,563641,930,7.4,41
ft10,154678,930,7.4,81
ft10,863030,930,7.6,71
ft10,326535,930,9.4,1
ft10,787554,930,13.3,111
ft10,98908,930,7.6,191
ft10,11188,930,25.8,151
ft10,135635,930,19.9,121
ft10,121281,930,7.5,131
ft10,304797,930,7.6,101
ft10,575180,930,24.4,161
ft10,830166,930,8.0,11
ft10,470327,930,6.9,211
ft10,369380,930,13.4,201
ft10,679148,930,28.3,171
ft10,244840,930,7.5,181
ft10,519001,930,26.4,21
ft10,693419,930,21.6,141
ft20,892652,1165,9.3,233
ft20,121281,1165,6.9,133
ft20,830166,1165,6.0,13
ft20,135635,1165,6.7,123
ft20,244840,1165,10.0,183
ft20,521805,1165,5.1,263
ft20,679148,1165,6.7,173
ft20,681122,1165,7.6,273
ft20,739961,1165,7.2,253
ft20,563641,1165,7.1,43
ft20,537284,1165,7.4,283
ft20,693419,1165,6.6,143
ft20,575180,1165,7.7,163
ft20,1976,1165,2.4,33
ft20,931341,1165,5.1,293
ft20,11188,1165,5.5,153
ft20,271655,1165,7.8,53
ft20,98908,1165,9.7,193
ft20,417968,1165,6.9,63
ft20,326535,1165,6.7,3
ft20,369380,1165,7.7,203
ft20,519001,1165,8.0,23
ft20,363468,1165,5.2,243
ft20,154678,1165,5.3,83
ft20,470327,1165,9.1,213
ft20,65565,1165,5.8,93
ft20,304797,1165,6.6,103
ft20,642927,1165,8.1,223
ft20,787554,1165,4.8,113
ft20,863030,1165,7.3,73
