dataset,cost,seed,pop_size,ngen,mut_rate,cross_rate,timeout,slurm
abz5,1344,876491,300,5000,0.2,0.1,300,9999
abz5,1400,515381,1000,5000,0.1,0.8,300,15379
abz5,1339,768041,100,5000,0.2,0.6,300,56399
abz5,1366,214051,200,5000,0.4,0.2,300,38959
abz5,1328,768041,100,5000,0.2,0.7,300,56409
abz5,1353,533382,500,5000,0.5,0.2,300,21919
abz5,1332,768041,100,5000,0.2,0.8,300,56419
abz5,1326,214051,200,5000,0.4,0.1,300,38949
abz5,1350,515381,1000,5000,0.1,0.7,300,15369
abz5,1363,214051,200,5000,0.3,0.7,300,38939
abz5,1283,768041,100,5000,0.3,0.1,300,56429
abz5,1325,214051,200,5000,0.3,0.6,300,38929
abz5,1330,533382,500,5000,0.5,0.3,300,21929
abz5,1304,768041,100,5000,0.3,0.2,300,56439
abz5,1333,214051,200,5000,0.3,0.5,300,38919
abz5,1338,768041,100,5000,0.3,0.3,300,56449
abz5,1411,515381,1000,5000,0.1,0.6,300,15359
abz5,1321,214051,200,5000,0.3,0.4,300,38909
abz5,1328,768041,100,5000,0.3,0.4,300,56459
abz5,1366,533382,500,5000,0.5,0.4,300,21939
abz5,1317,768041,100,5000,0.3,0.5,300,56469
abz5,1273,237663,100,5000,0.6,0.4,300,389
abz5,1326,214051,200,5000,0.3,0.3,300,38899
abz5,1395,515381,1000,5000,0.1,0.5,300,15349
abz5,1309,768041,100,5000,0.3,0.6,300,56479
abz5,1376,51673,500,5000,0.4,0.5,300,3889
abz5,1338,214051,200,5000,0.3,0.2,300,38889
abz5,1293,768041,100,5000,0.3,0.7,300,56489
abz5,1304,214051,200,5000,0.4,0.3,300,38969
abz5,1364,960512,300,5000,0.4,0.1,300,5649
abz5,1350,960512,300,5000,0.3,0.7,300,5639
abz5,1345,214051,200,5000,0.4,0.4,300,38979
abz5,1362,214051,200,5000,0.5,0.5,300,39049
abz5,1352,214051,200,5000,0.5,0.4,300,39039
abz5,1319,768041,100,5000,0.1,0.5,300,56299
abz5,1289,768041,100,5000,0.1,0.6,300,56309
abz5,1333,533382,500,5000,0.4,0.5,300,21889
abz5,1386,237663,1000,5000,0.6,0.4,300,2189
abz5,1406,515381,1000,5000,0.2,0.2,300,15409
abz5,1312,768041,100,5000,0.1,0.7,300,56319
abz5,1348,214051,200,5000,0.5,0.3,300,39029
abz5,1379,214051,200,5000,0.5,0.2,300,39019
abz5,1287,768041,100,5000,0.1,0.8,300,56329
abz5,1341,214051,200,5000,0.5,0.1,300,39009
abz5,1325,768041,100,5000,0.1,0.9,300,56339
abz5,1398,533382,500,5000,0.4,0.6,300,21899
abz5,1278,237663,100,5000,0.3,0.5,300,219
abz5,1394,515381,1000,5000,0.2,0.1,300,15399
abz5,1311,768041,100,5000,0.2,0.1,300,56349
abz5,1273,237663,100,5000,0.1,0.4,300,39
abz5,1364,214051,200,5000,0.4,0.6,300,38999
abz5,1262,768041,100,5000,0.2,0.2,300,56359
abz5,1374,51673,500,5000,0.4,0.6,300,3899
abz5,1318,768041,100,5000,0.2,0.3,300,56369
abz5,1361,214051,200,5000,0.4,0.5,300,38989
abz5,1387,237663,500,5000,0.3,0.2,300,1539
abz5,1384,515381,1000,5000,0.1,0.9,300,15389
abz5,1360,533382,500,5000,0.5,0.1,300,21909
abz5,1307,768041,100,5000,0.2,0.4,300,56379
abz5,1329,768041,100,5000,0.2,0.5,300,56389
abz5,1351,214051,200,5000,0.3,0.1,300,38879
abz5,1311,768041,100,5000,0.4,0.1,300,56499
abz5,1372,533382,500,5000,0.5,0.5,300,21949
abz5,1376,533382,500,5000,0.6,0.4,300,21989
abz5,1367,237663,1000,5000,0.7,0.1,300,2199
abz5,1298,768041,100,5000,0.6,0.3,300,56629
abz5,1353,214051,200,5000,0.1,0.7,300,38769
abz5,1336,768041,100,5000,0.6,0.4,300,56639
abz5,1374,237663,500,5000,0.3,0.1,300,1529
abz5,1379,515381,500,5000,0.8,0.2,300,15289
abz5,1370,214051,200,5000,0.1,0.6,300,38759
abz5,1290,768041,100,5000,0.7,0.1,300,56649
abz5,1356,214051,200,5000,0.1,0.5,300,38749
abz5,1275,768041,100,5000,0.7,0.2,300,56659
abz5,1385,533382,500,5000,0.7,0.1,300,21999
abz5,1324,768041,100,5000,0.7,0.3,300,56669
abz5,1393,515381,500,5000,0.8,0.1,300,15279
abz5,1345,214051,200,5000,0.1,0.4,300,38739
abz5,1332,214051,200,5000,0.1,0.3,300,38729
abz5,1318,768041,100,5000,0.8,0.1,300,56679
abz5,1355,214051,200,5000,0.1,0.2,300,38719
abz5,1335,768041,100,5000,0.8,0.2,300,56689
abz5,1362,960512,300,5000,0.4,0.3,300,5669
abz5,1376,515381,500,5000,0.7,0.3,300,15269
abz5,1370,533382,500,5000,0.7,0.2,300,22009
abz5,1331,214051,200,5000,0.1,0.1,300,38709
abz5,1305,768041,100,5000,0.9,0.1,300,56699
abz5,1387,214051,100,5000,0.9,0.1,300,38699
abz5,1347,768041,200,5000,0.1,0.1,300,56709
abz5,1381,51673,500,5000,0.4,0.3,300,3869
abz5,1295,768041,100,5000,0.6,0.2,300,56619
abz5,1365,515381,500,5000,0.9,0.1,300,15299
abz5,1342,214051,200,5000,0.1,0.8,300,38779
abz5,1305,768041,100,5000,0.6,0.1,300,56609
abz5,1385,515381,1000,5000,0.1,0.4,300,15339
abz5,1276,768041,100,5000,0.4,0.2,300,56509
abz5,1373,214051,200,5000,0.2,0.8,300,38869
abz5,1336,768041,100,5000,0.4,0.3,300,56519
abz5,1352,214051,200,5000,0.2,0.7,300,38859
abz5,1324,768041,100,5000,0.4,0.4,300,56529
abz5,1385,515381,1000,5000,0.1,0.3,300,15329
abz5,1382,533382,500,5000,0.6,0.1,300,21959
abz5,1328,214051,200,5000,0.2,0.6,300,38849
abz5,1302,768041,100,5000,0.4,0.5,300,56539
abz5,1362,214051,200,5000,0.2,0.5,300,38839
abz5,1294,768041,100,5000,0.4,0.6,300,56549
abz5,1358,214051,200,5000,0.2,0.4,300,38829
abz5,1340,960512,300,5000,0.3,0.6,300,5629
abz5,1319,768041,100,5000,0.5,0.1,300,56559
abz5,1384,533382,500,5000,0.6,0.2,300,21969
abz5,1303,768041,100,5000,0.5,0.2,300,56569
abz5,1338,214051,200,5000,0.2,0.3,300,38819
abz5,1336,214051,200,5000,0.2,0.2,300,38809
abz5,1351,768041,100,5000,0.5,0.3,300,56579
abz5,1358,515381,1000,5000,0.1,0.1,300,15309
abz5,1298,768041,100,5000,0.5,0.4,300,56589
abz5,1364,214051,200,5000,0.2,0.1,300,38799
abz5,1361,960512,300,5000,0.4,0.2,300,5659
abz5,1339,533382,500,5000,0.6,0.3,300,21979
abz5,1314,768041,100,5000,0.5,0.5,300,56599
abz5,1358,51673,500,5000,0.4,0.4,300,3879
abz5,1359,214051,200,5000,0.1,0.9,300,38789
abz5,1390,515381,1000,5000,0.1,0.2,300,15319
abz5,1345,515381,500,5000,0.7,0.2,300,15259
abz5,1367,515381,1000,5000,0.2,0.3,300,15419
abz5,1315,214051,200,5000,0.6,0.1,300,39059
abz5,1345,214051,300,5000,0.3,0.1,300,39329
abz5,1381,689086,1000,5000,0.2,0.8,300,55969
abz5,1420,515381,1000,5000,0.3,0.7,300,15539
abz5,1363,533382,500,5000,0.3,0.1,300,21779
abz5,1327,214051,300,5000,0.2,0.8,300,39319
abz5,1390,689086,1000,5000,0.3,0.1,300,55979
abz5,1325,214051,300,5000,0.2,0.7,300,39309
abz5,1405,689086,1000,5000,0.3,0.2,300,55989
abz5,1355,960512,300,5000,0.3,0.3,300,5599
abz5,1404,515381,1000,5000,0.3,0.6,300,15529
abz5,1365,214051,300,5000,0.2,0.6,300,39299
abz5,1386,689086,1000,5000,0.3,0.3,300,55999
abz5,1354,533382,500,5000,0.3,0.2,300,21789
abz5,1363,237663,1000,5000,0.6,0.3,300,2179
abz5,1383,689086,1000,5000,0.3,0.4,300,56009
abz5,1357,51673,500,5000,0.5,0.3,300,3929
abz5,1394,689086,1000,5000,0.3,0.5,300,56019
abz5,1362,214051,300,5000,0.2,0.5,300,39289
abz5,1388,515381,1000,5000,0.3,0.5,300,15519
abz5,1365,214051,300,5000,0.2,0.4,300,39279
abz5,1394,689086,1000,5000,0.3,0.6,300,56029
abz5,1348,533382,500,5000,0.3,0.3,300,21799
abz5,1372,689086,1000,5000,0.3,0.7,300,56039
abz5,1349,214051,300,5000,0.2,0.3,300,39269
abz5,1382,689086,1000,5000,0.4,0.1,300,56049
abz5,1360,515381,1000,5000,0.3,0.4,300,15509
abz5,1334,214051,300,5000,0.2,0.2,300,39259
abz5,1352,689086,1000,5000,0.2,0.7,300,55959
abz5,1401,689086,1000,5000,0.4,0.2,300,56059
abz5,1349,214051,300,5000,0.3,0.2,300,39339
abz5,1383,214051,300,5000,0.3,0.3,300,39349
abz5,1381,214051,300,5000,0.4,0.4,300,39429
abz5,1350,689086,1000,5000,0.1,0.6,300,55859
abz5,1328,214051,300,5000,0.4,0.3,300,39419
abz5,1404,515381,1000,5000,0.4,0.4,300,15579
abz5,1399,689086,1000,5000,0.1,0.7,300,55869
abz5,1332,214051,300,5000,0.4,0.2,300,39409
abz5,1390,689086,1000,5000,0.1,0.8,300,55879
abz5,1364,533382,500,5000,0.2,0.6,300,21749
abz5,1369,214051,300,5000,0.4,0.1,300,39399
abz5,1383,689086,1000,5000,0.1,0.9,300,55889
abz5,1375,515381,1000,5000,0.4,0.3,300,15569
abz5,1357,960512,300,5000,0.3,0.2,300,5589
abz5,1369,51673,500,5000,0.5,0.4,300,3939
abz5,1326,214051,300,5000,0.3,0.7,300,39389
abz5,1372,689086,1000,5000,0.2,0.1,300,55899
abz5,1333,237663,200,5000,0.2,0.2,300,559
abz5,1355,214051,300,5000,0.3,0.6,300,39379
abz5,1388,689086,1000,5000,0.2,0.2,300,55909
abz5,1389,533382,500,5000,0.2,0.7,300,21759
abz5,1406,515381,1000,5000,0.4,0.2,300,15559
abz5,1388,689086,1000,5000,0.2,0.3,300,55919
abz5,1378,214051,300,5000,0.3,0.5,300,39369
abz5,1346,214051,300,5000,0.3,0.4,300,39359
abz5,1391,689086,1000,5000,0.2,0.4,300,55929
abz5,1375,689086,1000,5000,0.2,0.5,300,55939
abz5,1409,515381,1000,5000,0.4,0.1,300,15549
abz5,1366,533382,500,5000,0.2,0.8,300,21769
abz5,1408,689086,1000,5000,0.2,0.6,300,55949
abz5,1362,214051,300,5000,0.2,0.1,300,39249
abz5,1384,689086,1000,5000,0.4,0.3,300,56069
abz5,1385,533382,500,5000,0.3,0.4,300,21809
abz5,1374,214051,200,5000,0.8,0.2,300,39139
abz5,1383,533382,500,5000,0.4,0.1,300,21849
abz5,1367,689086,1000,5000,0.6,0.4,300,56189
abz5,1379,960512,300,5000,0.3,0.5,300,5619
abz5,1353,214051,200,5000,0.8,0.1,300,39129
abz5,1390,689086,1000,5000,0.7,0.1,300,56199
abz5,1333,214051,200,5000,0.7,0.3,300,39119
abz5,1383,515381,1000,5000,0.2,0.6,300,15449
abz5,1386,689086,1000,5000,0.7,0.2,300,56209
abz5,1351,533382,500,5000,0.4,0.2,300,21859
abz5,1340,214051,200,5000,0.7,0.2,300,39109
abz5,1387,689086,1000,5000,0.7,0.3,300,56219
abz5,1314,214051,200,5000,0.7,0.1,300,39099
abz5,1400,689086,1000,5000,0.8,0.1,300,56229
abz5,1365,51673,500,5000,0.5,0.1,300,3909
abz5,1383,515381,1000,5000,0.2,0.5,300,15439
abz5,1333,214051,200,5000,0.6,0.4,300,39089
abz5,1391,689086,1000,5000,0.8,0.2,300,56239
abz5,1354,533382,500,5000,0.4,0.3,300,21869
abz5,1413,689086,1000,5000,0.9,0.1,300,56249
