dataset,cost,seed,tabu_len,nsteps,hold,timeout,slurm
abz5,1271,929289,8,1000.0,1000,300,999
abz5,1267,97017,8,1000.0,500,300,1589
abz5,1265,520697,8,1000.0,500,300,2989
abz5,1267,947154,8,1000.0,1000,300,299
abz5,1278,520697,8,1000.0,1000,300,2999
abz5,1271,97017,6,1000.0,1000,300,1579
abz5,1265,960897,2,1000.0,500,300,309
abz5,1280,97017,6,1000.0,500,300,1569
abz5,1265,960897,2,1000.0,1000,300,319
abz5,1278,97017,4,1000.0,1000,300,1559
abz5,1267,960897,3,1000.0,500,300,329
abz5,1297,97017,4,1000.0,500,300,1549
abz5,1267,960897,3,1000.0,1000,300,339
abz5,1283,7169,4,1000.0,1000,300,159
abz5,1281,97017,3,1000.0,1000,300,1539
abz5,1281,960897,4,1000.0,1000,300,359
abz5,1267,97017,3,1000.0,500,300,1529
abz5,1272,960897,6,1000.0,500,300,369
abz5,1267,97017,2,1000.0,1000,300,1519
abz5,1291,960897,6,1000.0,1000,300,379
abz5,1270,97017,2,1000.0,500,300,1509
abz5,1281,960897,8,1000.0,500,300,389
abz5,1278,835140,3,1000.0,1000,300,39
abz5,1275,637083,8,1000.0,1000,300,1499
abz5,1271,960897,8,1000.0,1000,300,399
abz5,1265,7169,4,1000.0,500,300,149
abz5,1286,637083,8,1000.0,500,300,1489
abz5,1274,960897,4,1000.0,500,300,349
abz5,1266,520697,6,1000.0,1000,300,2979
abz5,1274,97017,8,1000.0,1000,300,1599
abz5,1267,520697,6,1000.0,500,300,2969
abz5,1316,14594,2,1000.0,1000,300,1719
abz5,1265,785392,3,1000.0,1000,300,2839
abz5,1265,14594,2,1000.0,500,300,1709
abz5,1267,785392,4,1000.0,500,300,2849
abz5,1265,409001,8,1000.0,1000,300,1699
abz5,1267,785392,4,1000.0,1000,300,2859
abz5,1291,7169,6,1000.0,500,300,169
abz5,1267,409001,8,1000.0,500,300,1689
abz5,1267,785392,6,1000.0,500,300,2869
abz5,1281,785392,6,1000.0,1000,300,2879
abz5,1282,409001,6,1000.0,1000,300,1679
abz5,1295,785392,8,1000.0,500,300,2889
abz5,1267,947154,8,1000.0,500,300,289
abz5,1295,409001,6,1000.0,500,300,1669
abz5,1281,785392,8,1000.0,1000,300,2899
abz5,1267,835140,3,1000.0,500,300,29
abz5,1267,409001,4,1000.0,1000,300,1659
abz5,1295,520697,2,1000.0,500,300,2909
abz5,1267,409001,4,1000.0,500,300,1649
abz5,1267,520697,2,1000.0,1000,300,2919
abz5,1281,409001,3,1000.0,1000,300,1639
abz5,1291,520697,3,1000.0,500,300,2929
abz5,1265,409001,3,1000.0,500,300,1629
abz5,1280,520697,3,1000.0,1000,300,2939
abz5,1295,409001,2,1000.0,1000,300,1619
abz5,1267,520697,4,1000.0,500,300,2949
abz5,1267,409001,2,1000.0,500,300,1609
abz5,1295,650157,2,1000.0,500,300,409
abz5,1263,650157,2,1000.0,1000,300,419
abz5,1271,637083,6,1000.0,1000,300,1479
abz5,1267,650157,3,1000.0,500,300,429
abz5,1281,939994,8,1000.0,500,300,589
abz5,1266,835140,4,1000.0,1000,300,59
abz5,1278,939994,8,1000.0,1000,300,599
abz5,1267,317125,3,1000.0,500,300,1329
abz5,1278,592855,2,1000.0,500,300,609
abz5,1288,317125,2,1000.0,1000,300,1319
abz5,1281,592855,2,1000.0,1000,300,619
abz5,1278,317125,2,1000.0,500,300,1309
abz5,1286,592855,3,1000.0,500,300,629
abz5,1267,753386,8,1000.0,1000,300,1299
abz5,1288,592855,3,1000.0,1000,300,639
abz5,1281,7169,3,1000.0,500,300,129
abz5,1265,753386,8,1000.0,500,300,1289
abz5,1295,592855,4,1000.0,500,300,649
abz5,1281,592855,4,1000.0,1000,300,659
abz5,1272,753386,6,1000.0,1000,300,1279
abz5,1270,592855,6,1000.0,500,300,669
abz5,1267,753386,6,1000.0,500,300,1269
abz5,1267,592855,6,1000.0,1000,300,679
abz5,1288,753386,4,1000.0,1000,300,1259
abz5,1271,592855,8,1000.0,500,300,689
abz5,1267,835140,6,1000.0,500,300,69
abz5,1272,753386,4,1000.0,500,300,1249
abz5,1267,592855,8,1000.0,1000,300,699
abz5,1271,753386,3,1000.0,1000,300,1239
abz5,1284,567867,2,1000.0,500,300,709
abz5,1281,567867,2,1000.0,1000,300,719
abz5,1286,317125,3,1000.0,1000,300,1339
abz5,1288,785392,3,1000.0,500,300,2829
abz5,1272,939994,6,1000.0,1000,300,579
abz5,1265,939994,6,1000.0,500,300,569
abz5,1286,637083,6,1000.0,500,300,1469
abz5,1288,650157,3,1000.0,1000,300,439
abz5,1284,637083,4,1000.0,1000,300,1459
abz5,1278,650157,4,1000.0,500,300,449
abz5,1271,637083,4,1000.0,500,300,1449
abz5,1271,650157,4,1000.0,1000,300,459
abz5,1278,637083,3,1000.0,1000,300,1439
abz5,1283,650157,6,1000.0,500,300,469
abz5,1265,650157,6,1000.0,1000,300,479
abz5,1291,637083,3,1000.0,500,300,1429
abz5,1295,650157,8,1000.0,500,300,489
abz5,1270,835140,4,1000.0,500,300,49
abz5,1286,637083,2,1000.0,1000,300,1419
abz5,1281,650157,8,1000.0,1000,300,499
abz5,1265,637083,2,1000.0,500,300,1409
abz5,1266,939994,2,1000.0,500,300,509
abz5,1267,317125,8,1000.0,1000,300,1399
abz5,1267,939994,2,1000.0,1000,300,519
abz5,1295,7169,3,1000.0,1000,300,139
abz5,1281,317125,8,1000.0,500,300,1389
abz5,1267,939994,3,1000.0,500,300,529
abz5,1267,939994,3,1000.0,1000,300,539
abz5,1288,317125,6,1000.0,1000,300,1379
abz5,1265,939994,4,1000.0,500,300,549
abz5,1265,317125,6,1000.0,500,300,1369
abz5,1265,939994,4,1000.0,1000,300,559
abz5,1272,317125,4,1000.0,1000,300,1359
abz5,1267,317125,4,1000.0,500,300,1349
abz5,1278,753386,3,1000.0,500,300,1229
abz5,1267,14594,3,1000.0,500,300,1729
abz5,1265,785392,2,1000.0,500,300,2809
abz5,1288,947154,2,1000.0,500,300,209
abz5,1267,736154,8,1000.0,500,300,2089
abz5,1281,759087,8,1000.0,500,300,2389
abz5,1267,947154,3,1000.0,1000,300,239
abz5,1295,759087,8,1000.0,1000,300,2399
abz5,1267,736154,6,1000.0,1000,300,2079
abz5,1285,926167,2,1000.0,500,300,2409
abz5,1267,736154,6,1000.0,500,300,2069
abz5,1272,926167,2,1000.0,1000,300,2419
abz5,1281,736154,4,1000.0,1000,300,2059
abz5,1281,926167,3,1000.0,500,300,2429
abz5,1265,736154,4,1000.0,500,300,2049
abz5,1288,759087,6,1000.0,1000,300,2379
abz5,1278,926167,3,1000.0,1000,300,2439
abz5,1266,926167,4,1000.0,500,300,2449
abz5,1267,736154,3,1000.0,500,300,2029
