seed,dataset
326535,ft10
326535,abz7
326535,ft20
326535,abz9
326535,la04
326535,la03
326535,abz6
326535,la02
326535,abz5
326535,la01
830166,ft10
830166,abz7
830166,ft20
830166,abz9
830166,la04
830166,la03
830166,abz6
830166,la02
830166,abz5
830166,la01
519001,ft10
519001,abz7
519001,ft20
519001,abz9
519001,la04
519001,la03
519001,abz6
519001,la02
519001,abz5
519001,la01
1976,ft10
1976,abz7
1976,ft20
1976,abz9
1976,la04
1976,la03
1976,abz6
1976,la02
1976,abz5
1976,la01
563641,ft10
563641,abz7
563641,ft20
563641,abz9
563641,la04
563641,la03
563641,abz6
563641,la02
563641,abz5
563641,la01
271655,ft10
271655,abz7
271655,ft20
271655,abz9
271655,la04
271655,la03
271655,abz6
271655,la02
271655,abz5
271655,la01
417968,ft10
417968,abz7
417968,ft20
417968,abz9
417968,la04
417968,la03
417968,abz6
417968,la02
417968,abz5
417968,la01
863030,ft10
863030,abz7
863030,ft20
863030,abz9
863030,la04
863030,la03
863030,abz6
863030,la02
863030,abz5
863030,la01
154678,ft10
154678,abz7
154678,ft20
154678,abz9
154678,la04
154678,la03
154678,abz6
154678,la02
154678,abz5
154678,la01
65565,ft10
65565,abz7
65565,ft20
65565,abz9
65565,la04
65565,la03
65565,abz6
65565,la02
65565,abz5
65565,la01
304797,ft10
304797,abz7
304797,ft20
304797,abz9
304797,la04
304797,la03
304797,abz6
304797,la02
304797,abz5
304797,la01
787554,ft10
787554,abz7
787554,ft20
787554,abz9
787554,la04
787554,la03
787554,abz6
787554,la02
787554,abz5
787554,la01
135635,ft10
135635,abz7
135635,ft20
135635,abz9
135635,la04
135635,la03
135635,abz6
135635,la02
135635,abz5
135635,la01
121281,ft10
121281,abz7
121281,ft20
121281,abz9
121281,la04
121281,la03
121281,abz6
121281,la02
121281,abz5
121281,la01
693419,ft10
693419,abz7
693419,ft20
693419,abz9
693419,la04
693419,la03
693419,abz6
693419,la02
693419,abz5
693419,la01
11188,ft10
11188,abz7
11188,ft20
11188,abz9
11188,la04
11188,la03
11188,abz6
11188,la02
11188,abz5
11188,la01
575180,ft10
575180,abz7
575180,ft20
575180,abz9
575180,la04
575180,la03
575180,abz6
575180,la02
575180,abz5
575180,la01
679148,ft10
679148,abz7
679148,ft20
679148,abz9
679148,la04
679148,la03
679148,abz6
679148,la02
679148,abz5
679148,la01
244840,ft10
244840,abz7
244840,ft20
244840,abz9
244840,la04
244840,la03
244840,abz6
244840,la02
244840,abz5
244840,la01
98908,ft10
98908,abz7
98908,ft20
98908,abz9
98908,la04
98908,la03
98908,abz6
98908,la02
98908,abz5
98908,la01
369380,ft10
369380,abz7
369380,ft20
369380,abz9
369380,la04
369380,la03
369380,abz6
369380,la02
369380,abz5
369380,la01
470327,ft10
470327,abz7
470327,ft20
470327,abz9
470327,la04
470327,la03
470327,abz6
470327,la02
470327,abz5
470327,la01
642927,ft10
642927,abz7
642927,ft20
642927,abz9
642927,la04
642927,la03
642927,abz6
642927,la02
642927,abz5
642927,la01
892652,ft10
892652,abz7
892652,ft20
892652,abz9
892652,la04
892652,la03
892652,abz6
892652,la02
892652,abz5
892652,la01
363468,ft10
363468,abz7
363468,ft20
363468,abz9
363468,la04
363468,la03
363468,abz6
363468,la02
363468,abz5
363468,la01
739961,ft10
739961,abz7
739961,ft20
739961,abz9
739961,la04
739961,la03
739961,abz6
739961,la02
739961,abz5
739961,la01
521805,ft10
521805,abz7
521805,ft20
521805,abz9
521805,la04
521805,la03
521805,abz6
521805,la02
521805,abz5
521805,la01
681122,ft10
681122,abz7
681122,ft20
681122,abz9
681122,la04
681122,la03
681122,abz6
681122,la02
681122,abz5
681122,la01
537284,ft10
537284,abz7
537284,ft20
537284,abz9
537284,la04
537284,la03
537284,abz6
537284,la02
537284,abz5
537284,la01
931341,ft10
931341,abz7
931341,ft20
931341,abz9
931341,la04
931341,la03
931341,abz6
931341,la02
931341,abz5
931341,la01
