Dataset,Solver,Optimum,Solution,Time (seconds)
ft10,GoogleORCPSolver,930,930,3.4
abz5,GoogleORCPSolver,1234,1234,1.2
abz6,GoogleORCPSolver,943,943,14.6
ft06,GoogleORCPSolver,55,55,0.1
ft20,GoogleORCPSolver,1165,1165,0.8
la01,GoogleORCPSolver,666,666,0.1
la02,GoogleORCPSolver,655,655,0.2
la03,GoogleORCPSolver,597,597,0.1
la04,GoogleORCPSolver,590,590,0.1
la05,GoogleORCPSolver,593,593,0.1
la06,GoogleORCPSolver,926,926,0.2
la07,GoogleORCPSolver,890,890,0.2
abz5,PriorityDispatchSolver,1234,1383.0,0.0
abz6,PriorityDispatchSolver,943,981.0,0.0
abz7,GoogleORCPSolver,656,656,407.9
abz7,PriorityDispatchSolver,656,745.0,0.2
abz8,PriorityDispatchSolver,(645, 665),826.0,0.2
abz9,PriorityDispatchSolver,(661, 679),839.0,0.2
ft06,PriorityDispatchSolver,55,68.0,0.0
ft10,PriorityDispatchSolver,930,1007.0,0.0
ft20,PriorityDispatchSolver,1165,1259.0,0.0
la01,PriorityDispatchSolver,666,708.0,0.0
la02,PriorityDispatchSolver,655,717.0,0.0
la03,PriorityDispatchSolver,597,650.0,0.0
la04,PriorityDispatchSolver,590,659.0,0.0
la05,PriorityDispatchSolver,593,593.0,0.0
la06,PriorityDispatchSolver,926,926.0,0.0
la07,PriorityDispatchSolver,890,994.0,0.0
la08,PriorityDispatchSolver,863,863.0,0.0
la09,PriorityDispatchSolver,951,951.0,0.0
la10,PriorityDispatchSolver,958,958.0,0.0
la11,PriorityDispatchSolver,1222,1222.0,0.0
la12,PriorityDispatchSolver,1039,1039.0,0.0
la13,PriorityDispatchSolver,1150,1150.0,0.0
la14,PriorityDispatchSolver,1292,1292.0,0.0
la15,PriorityDispatchSolver,1207,1334.0,0.1
la16,PriorityDispatchSolver,945,1055.0,0.0
la17,PriorityDispatchSolver,784,939.0,0.0
la18,PriorityDispatchSolver,848,1004.0,0.0
la19,PriorityDispatchSolver,842,960.0,0.0
la20,PriorityDispatchSolver,902,972.0,0.0
la21,PriorityDispatchSolver,1046,1253.0,0.1
la22,PriorityDispatchSolver,927,1058.0,0.1
la23,PriorityDispatchSolver,1032,1124.0,0.1
la24,PriorityDispatchSolver,935,1041.0,0.1
la25,PriorityDispatchSolver,977,1099.0,0.1
la26,PriorityDispatchSolver,1218,1480.0,0.1
la27,PriorityDispatchSolver,1235,1369.0,0.1
la28,PriorityDispatchSolver,1216,1391.0,0.1
