seed,rules:+...
930137,spt
930137,lpt
930137,sps
930137,lps
930137,stpt
930137,ltpt
930137,ect
930137,lct
930137,swt
930137,lwt
930137,ltwr
930137,mtwr
880467,spt
880467,lpt
880467,sps
880467,lps
880467,stpt
880467,ltpt
880467,ect
880467,lct
880467,swt
880467,lwt
880467,ltwr
880467,mtwr
530844,spt
530844,lpt
530844,sps
530844,lps
530844,stpt
530844,ltpt
530844,ect
530844,lct
530844,swt
530844,lwt
530844,ltwr
530844,mtwr
729962,spt
729962,lpt
729962,sps
729962,lps
729962,stpt
729962,ltpt
729962,ect
729962,lct
729962,swt
729962,lwt
729962,ltwr
729962,mtwr
373490,spt
373490,lpt
373490,sps
373490,lps
373490,stpt
373490,ltpt
373490,ect
373490,lct
373490,swt
373490,lwt
373490,ltwr
373490,mtwr
438405,spt
438405,lpt
438405,sps
438405,lps
438405,stpt
438405,ltpt
438405,ect
438405,lct
438405,swt
438405,lwt
438405,ltwr
438405,mtwr
216958,spt
216958,lpt
216958,sps
216958,lps
216958,stpt
216958,ltpt
216958,ect
216958,lct
216958,swt
216958,lwt
216958,ltwr
216958,mtwr
112007,spt
112007,lpt
112007,sps
112007,lps
112007,stpt
112007,ltpt
112007,ect
112007,lct
112007,swt
112007,lwt
112007,ltwr
112007,mtwr
952098,spt
952098,lpt
952098,sps
952098,lps
952098,stpt
952098,ltpt
952098,ect
952098,lct
952098,swt
952098,lwt
952098,ltwr
952098,mtwr
194427,spt
194427,lpt
194427,sps
194427,lps
194427,stpt
194427,ltpt
194427,ect
194427,lct
194427,swt
194427,lwt
194427,ltwr
194427,mtwr
349180,spt
349180,lpt
349180,sps
349180,lps
349180,stpt
349180,ltpt
349180,ect
349180,lct
349180,swt
349180,lwt
349180,ltwr
349180,mtwr
357680,spt
357680,lpt
357680,sps
357680,lps
357680,stpt
357680,ltpt
357680,ect
357680,lct
357680,swt
357680,lwt
357680,ltwr
357680,mtwr
161036,spt
161036,lpt
161036,sps
161036,lps
161036,stpt
161036,ltpt
161036,ect
161036,lct
161036,swt
161036,lwt
161036,ltwr
161036,mtwr
472766,spt
472766,lpt
472766,sps
472766,lps
472766,stpt
472766,ltpt
472766,ect
472766,lct
472766,swt
472766,lwt
472766,ltwr
472766,mtwr
785453,spt
785453,lpt
785453,sps
785453,lps
785453,stpt
785453,ltpt
785453,ect
785453,lct
785453,swt
785453,lwt
785453,ltwr
785453,mtwr
487309,spt
487309,lpt
487309,sps
487309,lps
487309,stpt
487309,ltpt
487309,ect
487309,lct
487309,swt
487309,lwt
487309,ltwr
487309,mtwr
53309,spt
53309,lpt
53309,sps
53309,lps
53309,stpt
53309,ltpt
53309,ect
53309,lct
53309,swt
53309,lwt
53309,ltwr
53309,mtwr
288524,spt
288524,lpt
288524,sps
288524,lps
288524,stpt
288524,ltpt
288524,ect
288524,lct
288524,swt
288524,lwt
288524,ltwr
288524,mtwr
276490,spt
276490,lpt
276490,sps
276490,lps
276490,stpt
276490,ltpt
276490,ect
276490,lct
276490,swt
276490,lwt
276490,ltwr
276490,mtwr
328406,spt
328406,lpt
328406,sps
328406,lps
328406,stpt
328406,ltpt
328406,ect
328406,lct
328406,swt
328406,lwt
328406,ltwr
328406,mtwr
901641,spt
901641,lpt
901641,sps
901641,lps
901641,stpt
901641,ltpt
901641,ect
901641,lct
901641,swt
901641,lwt
901641,ltwr
901641,mtwr
492091,spt
492091,lpt
492091,sps
492091,lps
492091,stpt
492091,ltpt
492091,ect
492091,lct
492091,swt
492091,lwt
492091,ltwr
492091,mtwr
990024,spt
990024,lpt
990024,sps
990024,lps
990024,stpt
990024,ltpt
990024,ect
990024,lct
990024,swt
990024,lwt
990024,ltwr
990024,mtwr
885109,spt
885109,lpt
885109,sps
885109,lps
885109,stpt
885109,ltpt
885109,ect
885109,lct
885109,swt
885109,lwt
885109,ltwr
885109,mtwr
691888,spt
691888,lpt
691888,sps
691888,lps
691888,stpt
691888,ltpt
691888,ect
691888,lct
691888,swt
691888,lwt
691888,ltwr
691888,mtwr
961048,spt
961048,lpt
961048,sps
961048,lps
961048,stpt
961048,ltpt
961048,ect
961048,lct
961048,swt
961048,lwt
961048,ltwr
961048,mtwr
40994,spt
40994,lpt
40994,sps
40994,lps
40994,stpt
40994,ltpt
40994,ect
40994,lct
40994,swt
40994,lwt
40994,ltwr
40994,mtwr
894283,spt
894283,lpt
894283,sps
894283,lps
894283,stpt
894283,ltpt
894283,ect
894283,lct
894283,swt
894283,lwt
894283,ltwr
894283,mtwr
892078,spt
892078,lpt
892078,sps
892078,lps
892078,stpt
892078,ltpt
892078,ect
892078,lct
892078,swt
892078,lwt
892078,ltwr
892078,mtwr
914987,spt
914987,lpt
914987,sps
914987,lps
914987,stpt
914987,ltpt
914987,ect
914987,lct
914987,swt
914987,lwt
914987,ltwr
914987,mtwr
885109,"spt,sps"
885109,"spt,lps"
885109,"spt,stpt"
885109,"spt,ltpt"
885109,"spt,ect"
885109,"spt,lct"
885109,"spt,swt"
885109,"spt,lwt"
885109,"spt,ltwr"
885109,"spt,mtwr"
885109,"lpt,sps"
885109,"lpt,lps"
885109,"lpt,stpt"
885109,"lpt,ltpt"
885109,"lpt,ect"
885109,"lpt,lct"
885109,"lpt,swt"
885109,"lpt,lwt"
885109,"lpt,ltwr"
885109,"lpt,mtwr"
885109,"sps,spt"
885109,"sps,lpt"
885109,"sps,stpt"
885109,"sps,ltpt"
885109,"sps,ect"
885109,"sps,lct"
885109,"sps,swt"
885109,"sps,lwt"
885109,"sps,ltwr"
885109,"sps,mtwr"
885109,"lps,spt"
885109,"lps,lpt"
885109,"lps,stpt"
885109,"lps,ltpt"
885109,"lps,ect"
885109,"lps,lct"
885109,"lps,swt"
885109,"lps,lwt"
885109,"lps,ltwr"
885109,"lps,mtwr"
885109,"stpt,spt"
885109,"stpt,lpt"
885109,"stpt,sps"
885109,"stpt,lps"
885109,"stpt,ect"
885109,"stpt,lct"
885109,"stpt,swt"
885109,"stpt,lwt"
885109,"stpt,ltwr"
885109,"stpt,mtwr"
885109,"ltpt,spt"
885109,"ltpt,lpt"
885109,"ltpt,sps"
885109,"ltpt,lps"
885109,"ltpt,ect"
885109,"ltpt,lct"
885109,"ltpt,swt"
885109,"ltpt,lwt"
885109,"ltpt,ltwr"
885109,"ltpt,mtwr"
