seed,rules:+...
965278,spt
965278,lpt
965278,sps
965278,lps
965278,stpt
965278,ltpt
965278,ect
965278,lct
965278,swt
965278,lwt
965278,ltwr
965278,mtwr
918491,spt
918491,lpt
918491,sps
918491,lps
918491,stpt
918491,ltpt
918491,ect
918491,lct
918491,swt
918491,lwt
918491,ltwr
918491,mtwr
366936,spt
366936,lpt
366936,sps
366936,lps
366936,stpt
366936,ltpt
366936,ect
366936,lct
366936,swt
366936,lwt
366936,ltwr
366936,mtwr
463042,spt
463042,lpt
463042,sps
463042,lps
463042,stpt
463042,ltpt
463042,ect
463042,lct
463042,swt
463042,lwt
463042,ltwr
463042,mtwr
772412,spt
772412,lpt
772412,sps
772412,lps
772412,stpt
772412,ltpt
772412,ect
772412,lct
772412,swt
772412,lwt
772412,ltwr
772412,mtwr
347562,spt
347562,lpt
347562,sps
347562,lps
347562,stpt
347562,ltpt
347562,ect
347562,lct
347562,swt
347562,lwt
347562,ltwr
347562,mtwr
149236,spt
149236,lpt
149236,sps
149236,lps
149236,stpt
149236,ltpt
149236,ect
149236,lct
149236,swt
149236,lwt
149236,ltwr
149236,mtwr
431067,spt
431067,lpt
431067,sps
431067,lps
431067,stpt
431067,ltpt
431067,ect
431067,lct
431067,swt
431067,lwt
431067,ltwr
431067,mtwr
650033,spt
650033,lpt
650033,sps
650033,lps
650033,stpt
650033,ltpt
650033,ect
650033,lct
650033,swt
650033,lwt
650033,ltwr
650033,mtwr
231356,spt
231356,lpt
231356,sps
231356,lps
231356,stpt
231356,ltpt
231356,ect
231356,lct
231356,swt
231356,lwt
231356,ltwr
231356,mtwr
128708,spt
128708,lpt
128708,sps
128708,lps
128708,stpt
128708,ltpt
128708,ect
128708,lct
128708,swt
128708,lwt
128708,ltwr
128708,mtwr
173483,spt
173483,lpt
173483,sps
173483,lps
173483,stpt
173483,ltpt
173483,ect
173483,lct
173483,swt
173483,lwt
173483,ltwr
173483,mtwr
644716,spt
644716,lpt
644716,sps
644716,lps
644716,stpt
644716,ltpt
644716,ect
644716,lct
644716,swt
644716,lwt
644716,ltwr
644716,mtwr
158831,spt
158831,lpt
158831,sps
158831,lps
158831,stpt
158831,ltpt
158831,ect
158831,lct
158831,swt
158831,lwt
158831,ltwr
158831,mtwr
493816,spt
493816,lpt
493816,sps
493816,lps
493816,stpt
493816,ltpt
493816,ect
493816,lct
493816,swt
493816,lwt
493816,ltwr
493816,mtwr
869434,spt
869434,lpt
869434,sps
869434,lps
869434,stpt
869434,ltpt
869434,ect
869434,lct
869434,swt
869434,lwt
869434,ltwr
869434,mtwr
244152,spt
244152,lpt
244152,sps
244152,lps
244152,stpt
244152,ltpt
244152,ect
244152,lct
244152,swt
244152,lwt
244152,ltwr
244152,mtwr
948231,spt
948231,lpt
948231,sps
948231,lps
948231,stpt
948231,ltpt
948231,ect
948231,lct
948231,swt
948231,lwt
948231,ltwr
948231,mtwr
68543,spt
68543,lpt
68543,sps
68543,lps
68543,stpt
68543,ltpt
68543,ect
68543,lct
68543,swt
68543,lwt
68543,ltwr
68543,mtwr
454942,spt
454942,lpt
454942,sps
454942,lps
454942,stpt
454942,ltpt
454942,ect
454942,lct
454942,swt
454942,lwt
454942,ltwr
454942,mtwr
928381,spt
928381,lpt
928381,sps
928381,lps
928381,stpt
928381,ltpt
928381,ect
928381,lct
928381,swt
928381,lwt
928381,ltwr
928381,mtwr
190087,spt
190087,lpt
190087,sps
190087,lps
190087,stpt
190087,ltpt
190087,ect
190087,lct
190087,swt
190087,lwt
190087,ltwr
190087,mtwr
519056,spt
519056,lpt
519056,sps
519056,lps
519056,stpt
519056,ltpt
519056,ect
519056,lct
519056,swt
519056,lwt
519056,ltwr
519056,mtwr
299319,spt
299319,lpt
299319,sps
299319,lps
299319,stpt
299319,ltpt
299319,ect
299319,lct
299319,swt
299319,lwt
299319,ltwr
299319,mtwr
197393,spt
197393,lpt
197393,sps
197393,lps
197393,stpt
197393,ltpt
197393,ect
197393,lct
197393,swt
197393,lwt
197393,ltwr
197393,mtwr
239258,spt
239258,lpt
239258,sps
239258,lps
239258,stpt
239258,ltpt
239258,ect
239258,lct
239258,swt
239258,lwt
239258,ltwr
239258,mtwr
712065,spt
712065,lpt
712065,sps
712065,lps
712065,stpt
712065,ltpt
712065,ect
712065,lct
712065,swt
712065,lwt
712065,ltwr
712065,mtwr
672599,spt
672599,lpt
672599,sps
672599,lps
672599,stpt
672599,ltpt
672599,ect
672599,lct
672599,swt
672599,lwt
672599,ltwr
672599,mtwr
338554,spt
338554,lpt
338554,sps
338554,lps
338554,stpt
338554,ltpt
338554,ect
338554,lct
338554,swt
338554,lwt
338554,ltwr
338554,mtwr
205212,spt
205212,lpt
205212,sps
205212,lps
205212,stpt
205212,ltpt
205212,ect
205212,lct
205212,swt
205212,lwt
205212,ltwr
205212,mtwr
468223,spt:sps
468223,spt:lps
468223,spt:stpt
468223,spt:ltpt
468223,spt:ect
468223,spt:lct
468223,spt:swt
468223,spt:lwt
468223,spt:ltwr
468223,spt:mtwr
468223,lpt:sps
468223,lpt:lps
468223,lpt:stpt
468223,lpt:ltpt
468223,lpt:ect
468223,lpt:lct
468223,lpt:swt
468223,lpt:lwt
468223,lpt:ltwr
468223,lpt:mtwr
468223,sps:spt
468223,sps:lpt
468223,sps:stpt
468223,sps:ltpt
468223,sps:ect
468223,sps:lct
