seed,pop_size,ngen,mut_rate,cross_rate
237663,100,5000,0.1,0.1,ft10
237663,100,5000,0.1,0.1,abz7
237663,100,5000,0.1,0.1,ft20
237663,100,5000,0.1,0.1,abz9
237663,100,5000,0.1,0.1,la04
237663,100,5000,0.1,0.1,la03
237663,100,5000,0.1,0.1,abz6
237663,100,5000,0.1,0.1,la02
237663,100,5000,0.1,0.1,abz5
237663,100,5000,0.1,0.1,la01
237663,100,5000,0.1,0.2,ft10
237663,100,5000,0.1,0.2,abz7
237663,100,5000,0.1,0.2,ft20
237663,100,5000,0.1,0.2,abz9
237663,100,5000,0.1,0.2,la04
237663,100,5000,0.1,0.2,la03
237663,100,5000,0.1,0.2,abz6
237663,100,5000,0.1,0.2,la02
237663,100,5000,0.1,0.2,abz5
237663,100,5000,0.1,0.2,la01
237663,100,5000,0.1,0.3,ft10
237663,100,5000,0.1,0.3,abz7
237663,100,5000,0.1,0.3,ft20
237663,100,5000,0.1,0.3,abz9
237663,100,5000,0.1,0.3,la04
237663,100,5000,0.1,0.3,la03
237663,100,5000,0.1,0.3,abz6
237663,100,5000,0.1,0.3,la02
237663,100,5000,0.1,0.3,abz5
237663,100,5000,0.1,0.3,la01
237663,100,5000,0.1,0.4,ft10
237663,100,5000,0.1,0.4,abz7
237663,100,5000,0.1,0.4,ft20
237663,100,5000,0.1,0.4,abz9
237663,100,5000,0.1,0.4,la04
237663,100,5000,0.1,0.4,la03
237663,100,5000,0.1,0.4,abz6
237663,100,5000,0.1,0.4,la02
237663,100,5000,0.1,0.4,abz5
237663,100,5000,0.1,0.4,la01
237663,100,5000,0.1,0.5,ft10
237663,100,5000,0.1,0.5,abz7
237663,100,5000,0.1,0.5,ft20
237663,100,5000,0.1,0.5,abz9
237663,100,5000,0.1,0.5,la04
237663,100,5000,0.1,0.5,la03
237663,100,5000,0.1,0.5,abz6
237663,100,5000,0.1,0.5,la02
237663,100,5000,0.1,0.5,abz5
237663,100,5000,0.1,0.5,la01
237663,100,5000,0.1,0.6,ft10
237663,100,5000,0.1,0.6,abz7
237663,100,5000,0.1,0.6,ft20
237663,100,5000,0.1,0.6,abz9
237663,100,5000,0.1,0.6,la04
237663,100,5000,0.1,0.6,la03
237663,100,5000,0.1,0.6,abz6
