seed,initial_temp,cooldown
273009,100,0.5,ft10
273009,100,0.5,abz7
273009,100,0.5,ft20
273009,100,0.5,abz9
273009,100,0.5,la04
273009,100,0.5,la03
273009,100,0.5,abz6
273009,100,0.5,la02
273009,100,0.5,abz5
273009,100,0.5,la01
273009,100,0.8,ft10
273009,100,0.8,abz7
273009,100,0.8,ft20
273009,100,0.8,abz9
273009,100,0.8,la04
273009,100,0.8,la03
273009,100,0.8,abz6
273009,100,0.8,la02
273009,100,0.8,abz5
273009,100,0.8,la01
273009,100,0.9,ft10
273009,100,0.9,abz7
273009,100,0.9,ft20
273009,100,0.9,abz9
273009,100,0.9,la04
273009,100,0.9,la03
273009,100,0.9,abz6
273009,100,0.9,la02
273009,100,0.9,abz5
273009,100,0.9,la01
273009,200,0.5,ft10
273009,200,0.5,abz7
273009,200,0.5,ft20
273009,200,0.5,abz9
273009,200,0.5,la04
273009,200,0.5,la03
273009,200,0.5,abz6
273009,200,0.5,la02
273009,200,0.5,abz5
273009,200,0.5,la01
273009,200,0.8,ft10
273009,200,0.8,abz7
273009,200,0.8,ft20
273009,200,0.8,abz9
273009,200,0.8,la04
273009,200,0.8,la03
273009,200,0.8,abz6
273009,200,0.8,la02
273009,200,0.8,abz5
273009,200,0.8,la01
273009,200,0.9,ft10
273009,200,0.9,abz7
273009,200,0.9,ft20
273009,200,0.9,abz9
273009,200,0.9,la04
273009,200,0.9,la03
273009,200,0.9,abz6
273009,200,0.9,la02
273009,200,0.9,abz5
273009,200,0.9,la01
422159,100,0.5,ft10
422159,100,0.5,abz7
422159,100,0.5,ft20
422159,100,0.5,abz9
422159,100,0.5,la04
422159,100,0.5,la03
422159,100,0.5,abz6
422159,100,0.5,la02
422159,100,0.5,abz5
422159,100,0.5,la01
422159,100,0.8,ft10
422159,100,0.8,abz7
422159,100,0.8,ft20
422159,100,0.8,abz9
422159,100,0.8,la04
422159,100,0.8,la03
422159,100,0.8,abz6
422159,100,0.8,la02
422159,100,0.8,abz5
422159,100,0.8,la01
422159,100,0.9,ft10
422159,100,0.9,abz7
422159,100,0.9,ft20
422159,100,0.9,abz9
422159,100,0.9,la04
422159,100,0.9,la03
422159,100,0.9,abz6
422159,100,0.9,la02
422159,100,0.9,abz5
422159,100,0.9,la01
422159,200,0.5,ft10
422159,200,0.5,abz7
