seed,tabu_length,max_steps,longest_hold
229631,2,500,500,ft10
229631,2,500,500,abz7
229631,2,500,500,ft20
229631,2,500,500,abz9
229631,2,500,500,la04
229631,2,500,500,la03
229631,2,500,500,abz6
229631,2,500,500,la02
229631,2,500,500,abz5
229631,2,500,500,la01
229631,2,750,500,ft10
229631,2,750,500,abz7
229631,2,750,500,ft20
229631,2,750,500,abz9
229631,2,750,500,la04
229631,2,750,500,la03
229631,2,750,500,abz6
229631,2,750,500,la02
229631,2,750,500,abz5
229631,2,750,500,la01
229631,2,1000,500,ft10
229631,2,1000,500,abz7
229631,2,1000,500,ft20
229631,2,1000,500,abz9
229631,2,1000,500,la04
229631,2,1000,500,la03
229631,2,1000,500,abz6
229631,2,1000,500,la02
229631,2,1000,500,abz5
229631,2,1000,500,la01
229631,2,1000,1000,ft10
229631,2,1000,1000,abz7
229631,2,1000,1000,ft20
229631,2,1000,1000,abz9
229631,2,1000,1000,la04
229631,2,1000,1000,la03
229631,2,1000,1000,abz6
229631,2,1000,1000,la02
229631,2,1000,1000,abz5
229631,2,1000,1000,la01
229631,3,500,500,ft10
229631,3,500,500,abz7
229631,3,500,500,ft20
229631,3,500,500,abz9
229631,3,500,500,la04
229631,3,500,500,la03
229631,3,500,500,abz6
229631,3,500,500,la02
229631,3,500,500,abz5
229631,3,500,500,la01
229631,3,750,500,ft10
229631,3,750,500,abz7
229631,3,750,500,ft20
229631,3,750,500,abz9
229631,3,750,500,la04
229631,3,750,500,la03
229631,3,750,500,abz6
229631,3,750,500,la02
229631,3,750,500,abz5
229631,3,750,500,la01
229631,3,1000,500,ft10
229631,3,1000,500,abz7
229631,3,1000,500,ft20
229631,3,1000,500,abz9
229631,3,1000,500,la04
229631,3,1000,500,la03
229631,3,1000,500,abz6
229631,3,1000,500,la02
229631,3,1000,500,abz5
229631,3,1000,500,la01
229631,3,1000,1000,ft10
229631,3,1000,1000,abz7
229631,3,1000,1000,ft20
229631,3,1000,1000,abz9
229631,3,1000,1000,la04
229631,3,1000,1000,la03
229631,3,1000,1000,abz6
229631,3,1000,1000,la02
229631,3,1000,1000,abz5
229631,3,1000,1000,la01
229631,4,500,500,ft10
229631,4,500,500,abz7
229631,4,500,500,ft20
229631,4,500,500,abz9
229631,4,500,500,la04
229631,4,500,500,la03
229631,4,500,500,abz6
229631,4,500,500,la02
229631,4,500,500,abz5
229631,4,500,500,la01
229631,4,750,500,ft10
229631,4,750,500,abz7
229631,4,750,500,ft20
229631,4,750,500,abz9
229631,4,750,500,la04
229631,4,750,500,la03
229631,4,750,500,abz6
229631,4,750,500,la02
229631,4,750,500,abz5
229631,4,750,500,la01
229631,4,1000,500,ft10
229631,4,1000,500,abz7
229631,4,1000,500,ft20
229631,4,1000,500,abz9
229631,4,1000,500,la04
229631,4,1000,500,la03
229631,4,1000,500,abz6
229631,4,1000,500,la02
229631,4,1000,500,abz5
229631,4,1000,500,la01
229631,4,1000,1000,ft10
229631,4,1000,1000,abz7
229631,4,1000,1000,ft20
229631,4,1000,1000,abz9
229631,4,1000,1000,la04
229631,4,1000,1000,la03
229631,4,1000,1000,abz6
229631,4,1000,1000,la02
229631,4,1000,1000,abz5
229631,4,1000,1000,la01
229631,6,500,500,ft10
229631,6,500,500,abz7
229631,6,500,500,ft20
229631,6,500,500,abz9
229631,6,500,500,la04
229631,6,500,500,la03
229631,6,500,500,abz6
229631,6,500,500,la02
229631,6,500,500,abz5
229631,6,500,500,la01
229631,6,750,500,ft10
229631,6,750,500,abz7
229631,6,750,500,ft20
229631,6,750,500,abz9
229631,6,750,500,la04
229631,6,750,500,la03
229631,6,750,500,abz6
229631,6,750,500,la02
229631,6,750,500,abz5
229631,6,750,500,la01
229631,6,1000,500,ft10
229631,6,1000,500,abz7
229631,6,1000,500,ft20
229631,6,1000,500,abz9
229631,6,1000,500,la04
229631,6,1000,500,la03
229631,6,1000,500,abz6
229631,6,1000,500,la02
229631,6,1000,500,abz5
229631,6,1000,500,la01
229631,6,1000,1000,ft10
229631,6,1000,1000,abz7
229631,6,1000,1000,ft20
229631,6,1000,1000,abz9
229631,6,1000,1000,la04
229631,6,1000,1000,la03
229631,6,1000,1000,abz6
229631,6,1000,1000,la02
229631,6,1000,1000,abz5
229631,6,1000,1000,la01
229631,8,500,500,ft10
229631,8,500,500,abz7
229631,8,500,500,ft20
229631,8,500,500,abz9
229631,8,500,500,la04
229631,8,500,500,la03
229631,8,500,500,abz6
229631,8,500,500,la02
229631,8,500,500,abz5
229631,8,500,500,la01
229631,8,750,500,ft10
229631,8,750,500,abz7
229631,8,750,500,ft20
229631,8,750,500,abz9
229631,8,750,500,la04
229631,8,750,500,la03
229631,8,750,500,abz6
229631,8,750,500,la02
229631,8,750,500,abz5
229631,8,750,500,la01
229631,8,1000,500,ft10
229631,8,1000,500,abz7
229631,8,1000,500,ft20
229631,8,1000,500,abz9
229631,8,1000,500,la04
229631,8,1000,500,la03
229631,8,1000,500,abz6
229631,8,1000,500,la02
229631,8,1000,500,abz5
229631,8,1000,500,la01
229631,8,1000,1000,ft10
229631,8,1000,1000,abz7
229631,8,1000,1000,ft20
229631,8,1000,1000,abz9
229631,8,1000,1000,la04
229631,8,1000,1000,la03
229631,8,1000,1000,abz6
229631,8,1000,1000,la02
229631,8,1000,1000,abz5
229631,8,1000,1000,la01
375533,2,500,500,ft10
375533,2,500,500,abz7
375533,2,500,500,ft20
375533,2,500,500,abz9
375533,2,500,500,la04
375533,2,500,500,la03
375533,2,500,500,abz6
375533,2,500,500,la02
375533,2,500,500,abz5
375533,2,500,500,la01
375533,2,750,500,ft10
375533,2,750,500,abz7
375533,2,750,500,ft20
375533,2,750,500,abz9
375533,2,750,500,la04
375533,2,750,500,la03
375533,2,750,500,abz6
375533,2,750,500,la02
375533,2,750,500,abz5
375533,2,750,500,la01
375533,2,1000,500,ft10
375533,2,1000,500,abz7
375533,2,1000,500,ft20
375533,2,1000,500,abz9
375533,2,1000,500,la04
375533,2,1000,500,la03
375533,2,1000,500,abz6
375533,2,1000,500,la02
375533,2,1000,500,abz5
375533,2,1000,500,la01
375533,2,1000,1000,ft10
375533,2,1000,1000,abz7
375533,2,1000,1000,ft20
375533,2,1000,1000,abz9
375533,2,1000,1000,la04
375533,2,1000,1000,la03
375533,2,1000,1000,abz6
375533,2,1000,1000,la02
375533,2,1000,1000,abz5
375533,2,1000,1000,la01
375533,3,500,500,ft10
375533,3,500,500,abz7
375533,3,500,500,ft20
375533,3,500,500,abz9
375533,3,500,500,la04
375533,3,500,500,la03
375533,3,500,500,abz6
375533,3,500,500,la02
375533,3,500,500,abz5
375533,3,500,500,la01
375533,3,750,500,ft10
375533,3,750,500,abz7
375533,3,750,500,ft20
375533,3,750,500,abz9
375533,3,750,500,la04
375533,3,750,500,la03
375533,3,750,500,abz6
375533,3,750,500,la02
375533,3,750,500,abz5
375533,3,750,500,la01
375533,3,1000,500,ft10
375533,3,1000,500,abz7
375533,3,1000,500,ft20
375533,3,1000,500,abz9
375533,3,1000,500,la04
375533,3,1000,500,la03
375533,3,1000,500,abz6
375533,3,1000,500,la02
375533,3,1000,500,abz5
375533,3,1000,500,la01
375533,3,1000,1000,ft10
375533,3,1000,1000,abz7
375533,3,1000,1000,ft20
375533,3,1000,1000,abz9
375533,3,1000,1000,la04
375533,3,1000,1000,la03
375533,3,1000,1000,abz6
375533,3,1000,1000,la02
375533,3,1000,1000,abz5
375533,3,1000,1000,la01
375533,4,500,500,ft10
375533,4,500,500,abz7
375533,4,500,500,ft20
375533,4,500,500,abz9
375533,4,500,500,la04
375533,4,500,500,la03
375533,4,500,500,abz6
375533,4,500,500,la02
375533,4,500,500,abz5
375533,4,500,500,la01
375533,4,750,500,ft10
375533,4,750,500,abz7
375533,4,750,500,ft20
375533,4,750,500,abz9
375533,4,750,500,la04
375533,4,750,500,la03
375533,4,750,500,abz6
375533,4,750,500,la02
375533,4,750,500,abz5
375533,4,750,500,la01
375533,4,1000,500,ft10
375533,4,1000,500,abz7
375533,4,1000,500,ft20
375533,4,1000,500,abz9
375533,4,1000,500,la04
375533,4,1000,500,la03
375533,4,1000,500,abz6
375533,4,1000,500,la02
375533,4,1000,500,abz5
375533,4,1000,500,la01
375533,4,1000,1000,ft10
375533,4,1000,1000,abz7
375533,4,1000,1000,ft20
375533,4,1000,1000,abz9
375533,4,1000,1000,la04
375533,4,1000,1000,la03
375533,4,1000,1000,abz6
375533,4,1000,1000,la02
375533,4,1000,1000,abz5
375533,4,1000,1000,la01
375533,6,500,500,ft10
375533,6,500,500,abz7
375533,6,500,500,ft20
375533,6,500,500,abz9
375533,6,500,500,la04
375533,6,500,500,la03
375533,6,500,500,abz6
375533,6,500,500,la02
375533,6,500,500,abz5
375533,6,500,500,la01
375533,6,750,500,ft10
375533,6,750,500,abz7
375533,6,750,500,ft20
375533,6,750,500,abz9
375533,6,750,500,la04
375533,6,750,500,la03
375533,6,750,500,abz6
375533,6,750,500,la02
375533,6,750,500,abz5
375533,6,750,500,la01
375533,6,1000,500,ft10
375533,6,1000,500,abz7
375533,6,1000,500,ft20
375533,6,1000,500,abz9
375533,6,1000,500,la04
375533,6,1000,500,la03
375533,6,1000,500,abz6
375533,6,1000,500,la02
375533,6,1000,500,abz5
375533,6,1000,500,la01
375533,6,1000,1000,ft10
375533,6,1000,1000,abz7
375533,6,1000,1000,ft20
375533,6,1000,1000,abz9
375533,6,1000,1000,la04
375533,6,1000,1000,la03
375533,6,1000,1000,abz6
375533,6,1000,1000,la02
375533,6,1000,1000,abz5
375533,6,1000,1000,la01
375533,8,500,500,ft10
375533,8,500,500,abz7
375533,8,500,500,ft20
375533,8,500,500,abz9
375533,8,500,500,la04
375533,8,500,500,la03
375533,8,500,500,abz6
375533,8,500,500,la02
375533,8,500,500,abz5
375533,8,500,500,la01
375533,8,750,500,ft10
375533,8,750,500,abz7
375533,8,750,500,ft20
375533,8,750,500,abz9
375533,8,750,500,la04
375533,8,750,500,la03
375533,8,750,500,abz6
375533,8,750,500,la02
375533,8,750,500,abz5
375533,8,750,500,la01
375533,8,1000,500,ft10
375533,8,1000,500,abz7
375533,8,1000,500,ft20
375533,8,1000,500,abz9
375533,8,1000,500,la04
375533,8,1000,500,la03
375533,8,1000,500,abz6
375533,8,1000,500,la02
375533,8,1000,500,abz5
375533,8,1000,500,la01
375533,8,1000,1000,ft10
375533,8,1000,1000,abz7
375533,8,1000,1000,ft20
375533,8,1000,1000,abz9
375533,8,1000,1000,la04
375533,8,1000,1000,la03
375533,8,1000,1000,abz6
375533,8,1000,1000,la02
375533,8,1000,1000,abz5
375533,8,1000,1000,la01
103832,2,500,500,ft10
103832,2,500,500,abz7
103832,2,500,500,ft20
103832,2,500,500,abz9
103832,2,500,500,la04
103832,2,500,500,la03
103832,2,500,500,abz6
103832,2,500,500,la02
103832,2,500,500,abz5
103832,2,500,500,la01
103832,2,750,500,ft10
103832,2,750,500,abz7
103832,2,750,500,ft20
103832,2,750,500,abz9
103832,2,750,500,la04
103832,2,750,500,la03
103832,2,750,500,abz6
103832,2,750,500,la02
103832,2,750,500,abz5
103832,2,750,500,la01
103832,2,1000,500,ft10
103832,2,1000,500,abz7
103832,2,1000,500,ft20
103832,2,1000,500,abz9
103832,2,1000,500,la04
103832,2,1000,500,la03
103832,2,1000,500,abz6
103832,2,1000,500,la02
103832,2,1000,500,abz5
103832,2,1000,500,la01
103832,2,1000,1000,ft10
103832,2,1000,1000,abz7
103832,2,1000,1000,ft20
103832,2,1000,1000,abz9
103832,2,1000,1000,la04
103832,2,1000,1000,la03
103832,2,1000,1000,abz6
103832,2,1000,1000,la02
103832,2,1000,1000,abz5
103832,2,1000,1000,la01
103832,3,500,500,ft10
103832,3,500,500,abz7
103832,3,500,500,ft20
103832,3,500,500,abz9
103832,3,500,500,la04
103832,3,500,500,la03
103832,3,500,500,abz6
103832,3,500,500,la02
103832,3,500,500,abz5
103832,3,500,500,la01
103832,3,750,500,ft10
103832,3,750,500,abz7
103832,3,750,500,ft20
103832,3,750,500,abz9
103832,3,750,500,la04
103832,3,750,500,la03
103832,3,750,500,abz6
103832,3,750,500,la02
103832,3,750,500,abz5
103832,3,750,500,la01
103832,3,1000,500,ft10
103832,3,1000,500,abz7
103832,3,1000,500,ft20
103832,3,1000,500,abz9
103832,3,1000,500,la04
103832,3,1000,500,la03
103832,3,1000,500,abz6
103832,3,1000,500,la02
103832,3,1000,500,abz5
103832,3,1000,500,la01
103832,3,1000,1000,ft10
103832,3,1000,1000,abz7
103832,3,1000,1000,ft20
103832,3,1000,1000,abz9
103832,3,1000,1000,la04
103832,3,1000,1000,la03
103832,3,1000,1000,abz6
103832,3,1000,1000,la02
103832,3,1000,1000,abz5
103832,3,1000,1000,la01
103832,4,500,500,ft10
103832,4,500,500,abz7
103832,4,500,500,ft20
103832,4,500,500,abz9
103832,4,500,500,la04
103832,4,500,500,la03
103832,4,500,500,abz6
103832,4,500,500,la02
103832,4,500,500,abz5
103832,4,500,500,la01
103832,4,750,500,ft10
103832,4,750,500,abz7
103832,4,750,500,ft20
103832,4,750,500,abz9
103832,4,750,500,la04
103832,4,750,500,la03
103832,4,750,500,abz6
103832,4,750,500,la02
103832,4,750,500,abz5
103832,4,750,500,la01
103832,4,1000,500,ft10
103832,4,1000,500,abz7
103832,4,1000,500,ft20
103832,4,1000,500,abz9
103832,4,1000,500,la04
103832,4,1000,500,la03
103832,4,1000,500,abz6
103832,4,1000,500,la02
103832,4,1000,500,abz5
103832,4,1000,500,la01
103832,4,1000,1000,ft10
103832,4,1000,1000,abz7
103832,4,1000,1000,ft20
103832,4,1000,1000,abz9
103832,4,1000,1000,la04
103832,4,1000,1000,la03
103832,4,1000,1000,abz6
103832,4,1000,1000,la02
103832,4,1000,1000,abz5
103832,4,1000,1000,la01
103832,6,500,500,ft10
103832,6,500,500,abz7
103832,6,500,500,ft20
103832,6,500,500,abz9
103832,6,500,500,la04
103832,6,500,500,la03
103832,6,500,500,abz6
103832,6,500,500,la02
103832,6,500,500,abz5
103832,6,500,500,la01
103832,6,750,500,ft10
103832,6,750,500,abz7
103832,6,750,500,ft20
103832,6,750,500,abz9
103832,6,750,500,la04
103832,6,750,500,la03
103832,6,750,500,abz6
103832,6,750,500,la02
103832,6,750,500,abz5
103832,6,750,500,la01
103832,6,1000,500,ft10
103832,6,1000,500,abz7
103832,6,1000,500,ft20
103832,6,1000,500,abz9
103832,6,1000,500,la04
103832,6,1000,500,la03
103832,6,1000,500,abz6
103832,6,1000,500,la02
103832,6,1000,500,abz5
